keyFifths,beats,beatsType,harmonyRootStep,harmonyRootAlter,divisions,harmonyKind,harmonyDuration,sequenceId,startPitchStep,startPitchOctave,startPitchAlter,targetPitchStep,targetPitchOctave,targetPitchAlter
6,4,4,F,1,1,major-seventh,4,39365b68-621d-41a5-87fb-696e2552ae98,F,2,1,F,3,1
6,4,4,F,1,1,major-seventh,4,fe0b6fc7-df4b-44b6-9124-c748fdf3f234,F,3,1,G,2,0
-1,4,4,G,0,1,minor-seventh,4,eec941ec-7fee-4969-90a2-690abfa87d07,G,2,0,G,2,-1
-1,4,4,G,-1,1,dominant,4,6a2179a0-008b-4b33-af19-203b7c3e2ada,G,2,-1,F,2,0
-1,4,4,F,0,1,major-seventh,4,62e14bfd-357e-46ea-ac14-e72a5a26a8d7,F,2,0,F,3,0
-1,4,4,F,0,1,major-seventh,4,b09e2eb9-a507-4678-9a1c-fa0d45a956a9,F,3,0,G,3,0
-1,4,4,G,0,1,minor-seventh,4,4243b792-b43b-4618-aea9-95e30c27ae2c,G,3,0,G,2,-1
-1,4,4,G,-1,1,dominant,4,52894585-dc54-437f-b32e-1bf9163430b9,G,2,-1,F,2,0
-1,4,4,F,0,1,major-seventh,4,36a8bd36-33d4-450a-bf33-3a77bc608a5a,F,2,0,F,3,0
-1,4,4,F,0,1,major-seventh,4,9fc8680f-dc6f-41ad-b5f4-581d4c5eadc6,F,3,0,F,2,1
4,4,4,F,1,1,minor-seventh,4,4d6a6fab-259d-42fe-af2e-16246559e45c,F,2,1,F,2,0
4,4,4,F,0,1,dominant,4,552a42dc-35fe-4729-b4f0-845876b70c0c,F,2,0,E,2,0
4,4,4,E,0,1,major-seventh,4,b6d00fcd-432b-4e12-b694-7dfd335199b5,E,2,0,E,3,0
4,4,4,E,0,1,major-seventh,4,de38d773-0e2c-4672-9fb0-196b70368135,E,3,0,F,3,1
4,4,4,F,1,1,minor-seventh,4,b86308fa-35f6-4bca-8790-03ab967f357e,F,3,1,F,3,0
4,4,4,F,0,1,dominant,4,564971fb-2262-49f3-a897-960ea78682a1,F,3,0,E,2,0
4,4,4,E,0,1,major-seventh,4,aca8a466-fd03-4581-95ec-d7e7e5a44f7e,E,2,0,E,3,0
4,4,4,E,0,1,major-seventh,4,22a089a2-f0c4-4afb-a68e-e698da8f8407,E,3,0,F,2,0
-3,4,4,F,0,1,minor-seventh,4,2ebb4763-6673-43aa-a799-e91a6bfcfda6,F,2,0,E,3,0
-3,4,4,E,0,1,dominant,4,8f0c6b9a-ac17-4517-b72f-4c7ec40a56d4,E,3,0,E,3,-1
-3,4,4,E,-1,1,major-seventh,4,ab02d12b-2cc9-4d77-8712-3d9934728157,E,3,-1,E,3,-1
-3,4,4,E,-1,1,major-seventh,4,21256d21-569d-41f3-9659-66a55801114a,E,3,-1,F,2,0
-3,4,4,F,0,1,minor-seventh,4,cc3b1694-9462-40eb-a359-9631cdc7dee3,F,2,0,F,3,-1
-3,4,4,F,-1,1,dominant,4,a2134133-10cd-416c-bd72-e8cd78861826,F,3,-1,E,3,-1
-3,4,4,E,-1,1,major-seventh,4,9d643354-86d6-472e-ab79-309b40ec4add,E,3,-1,E,3,-1
-3,4,4,E,-1,1,major-seventh,4,6b8dc4c3-c10f-44c3-aebe-60d39d3d5007,E,3,-1,F,3,0
-3,4,4,F,0,1,minor-seventh,4,f6164489-f5d9-4deb-aaf6-393fd9d954d9,F,3,0,F,3,-1
-3,4,4,F,-1,1,dominant,4,1d1e8395-6b11-4e7a-8b83-4c3733d8560e,F,3,-1,E,3,-1
-3,4,4,E,-1,1,major-seventh,4,b2004b63-a5bb-4674-a252-66398eb55415,E,3,-1,E,3,-1
-3,4,4,E,-1,1,major-seventh,4,9bfff070-8fdd-44f3-a2df-3087a4d53637,E,3,-1,E,2,0
